абрикосовое варенье,39,а,объщая категория
абрикосовое пюре,994,а,объщая категория
абрикосовый джем,338,а,объщая категория
абрикосовый сок,703,а,объщая категория
абрикосы,811,а,объщая категория
абрикосы консервированные,387,а,объщая категория
авокадо,3,а,объщая категория
агава сироп,246,а,объщая категория
агар-агар,69,а,объщая категория
аграм,234,а,объщая категория
аджика,985,а,объщая категория
аджика зеленая,743,а,объщая категория
айва,905,а,объщая категория
айвовое пюре,542,а,объщая категория
айран,13,а,объщая категория
айсинг,118,а,объщая категория
акула стейки,833,а,объщая категория
алкоголь,97,а,объщая категория
алкоголь крепкий,39,а,объщая категория
алыча,478,а,объщая категория
альбухара,627,а,объщая категория
альмехи,585,а,объщая категория
амарантовая мука,527,а,объщая категория
ананасовый сироп,874,а,объщая категория
ананасовый сок,321,а,объщая категория
ананасы,123,а,объщая категория
ананасы вяленые,534,а,объщая категория
ананасы консервированные,338,а,объщая категория
анис,937,а,объщая категория
анис звездочки,583,а,объщая категория
анисовый ликер,604,а,объщая категория
анис семена,100,а,объщая категория
анчоусы,649,а,объщая категория
апельсиновая вода,8,а,объщая категория
апельсиновая цедра,108,а,объщая категория
апельсиновая эссенция,836,а,объщая категория
апельсиновое варенье,898,а,объщая категория
апельсиновые цукаты,120,а,объщая категория
апельсиновый джем,106,а,объщая категория
апельсиновый джем с имбирем,758,а,объщая категория
апельсиновый ликер,323,а,объщая категория
апельсиновый сироп,629,а,объщая категория
апельсиновый сок,113,а,объщая категория
апельсиновый сок свежевыжатый,332,а,объщая категория
апельсиновый уксус,629,а,объщая категория
апельсиновый экстракт,501,а,объщая категория
апельсины,728,а,объщая категория
апельсины красные,788,а,объщая категория
апельсины крупные,457,а,объщая категория
арахис,892,а,объщая категория
арахис жареный,59,а,объщая категория
арахисовая паста,570,а,объщая категория
арахисовое масло,325,а,объщая категория
арахис соленый,615,а,объщая категория
арбузная мякоть,533,а,объщая категория
арбузы,974,а,объщая категория
аргановое масло,910,а,объщая категория
аришта,637,а,объщая категория
ароматизатор,202,а,объщая категория
"ароматизатор ""ананас""",287,а,объщая категория
"ароматизатор ""вишня""",158,а,объщая категория
"ароматизатор ""малина""",283,а,объщая категория
"ароматизатор ""ром""",81,а,объщая категория
артишоки,744,а,объщая категория
артишоки в масле,481,а,объщая категория
артишоки маринованные,906,а,объщая категория
аспирин,474,а,объщая категория
ассорти мясное,744,а,объщая категория
ассорти овощное,108,а,объщая категория
ассорти фруктовое,438,а,объщая категория
ассорти ягодное,355,а,объщая категория
аши,592,а,объщая категория
багет,104,б,объщая категория
